City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Salalah,OM,77.0,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
1,Ambilobe,MG,76.06,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
5,Bata,GQ,80.6,scattered clouds,1.86,9.77,Hotel Carmen
6,Bubaque,GW,79.77,overcast clouds,11.28,-15.83,Casa Dora
14,Weligama,LK,81.1,broken clouds,5.97,80.42,Weligama Bay Resort
26,Kulhudhuffushi,MV,83.35,overcast clouds,6.62,73.07,Haajy Guest House 1
30,Keningau,MY,78.8,thunderstorm with light rain,5.34,116.16,Sabindo Hotel
35,Santiago Del Estero,AR,78.44,broken clouds,-27.8,-64.26,Hotel Urbano
36,Atuona,PF,78.19,light rain,-9.8,-139.03,Villa Enata
37,Vila Velha,BR,78.8,broken clouds,-20.33,-40.29,Hotel Vitória Palace
39,Lastoursville,GA,83.03,moderate rain,-0.81,12.73,Auberge Bon Coin 02
40,San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,Pirineos
42,Buala,SB,79.79,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
46,Hithadhoo,MV,82.44,overcast clouds,-0.6,73.08,Scoop Guest House
47,Butaritari,KI,82.31,few clouds,3.07,172.79,Isles Sunset Lodge
51,Rosaryville,US,78.01,light rain,38.76,-76.81,Bragg Motel
53,Harper,LR,78.84,broken clouds,4.38,-7.72,Screensaver
56,Karratha,AU,77.59,clear sky,-20.74,116.85,ibis Styles Karratha
60,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
62,Dossor,KZ,86.86,overcast clouds,47.53,52.98,"Gostinitsa Orpk ""Nauryz"""
64,Maloh,PH,80.42,overcast clouds,9.06,122.99,Edz
65,Itoman,JP,84.2,shower rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
68,Daru,PG,77.7,light rain,-9.08,143.21,New century hotel
72,Sao Filipe,CV,80.67,overcast clouds,14.9,-24.5,Tortuga B&B
74,Nouadhibou,MR,84.2,clear sky,20.93,-17.03,El Medina
76,Galesong,ID,84.2,few clouds,-5.32,119.37,Sapriadi Appy
77,Isla Aguada,MX,82.4,broken clouds,18.78,-91.47,Freedom Shores
79,Ugoofaaru,MV,83.68,broken clouds,5.67,73.0,Ungoofaaru Inn
86,Karonga,MW,79.97,overcast clouds,-9.93,33.93,Sumuka Inn
88,Bouna,CI,83.71,light rain,9.27,-3.0,Hotel Reserve
90,Lata,PT,78.01,clear sky,40.16,-8.33,Casa Maquia
94,Sibolga,ID,78.21,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
96,Georgetown,MY,86.0,few clouds,5.41,100.34,Cititel Penang
99,Gat,IL,89.01,clear sky,31.61,34.76,רגע בנחת
101,Iralaya,HN,84.81,clear sky,15.0,-83.23,Iglesia morava renovada
102,Marshall,US,82.0,light rain,34.38,-86.33,Lake Guntersville Bed and Breakfast
107,Tecoanapa,MX,77.88,overcast clouds,16.52,-98.75,Hotel Manglares
108,Esmeraldas,BR,78.8,scattered clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
110,Kahului,US,77.0,clear sky,20.89,-156.47,Maui Seaside Hotel
115,San Policarpo,PH,80.22,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
116,San Patricio,MX,77.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
117,Boldva,HU,84.2,clear sky,48.22,20.8,Éva Vendégház
118,Dingle,PH,76.35,overcast clouds,11.0,122.67,Camp Pasica
120,Bengkulu,ID,78.1,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
123,Kuah,MY,84.2,few clouds,6.33,99.84,Azio Hotel
127,Ponta Do Sol,PT,78.8,scattered clouds,32.67,-17.1,Hotel do Campo
128,Bo Rai,TH,77.58,scattered clouds,12.57,102.54,Baiboon Resort
139,Bathsheba,BB,84.2,shower rain,13.22,-59.52,Atlantis Hotel
140,Alappuzha,IN,80.42,overcast clouds,9.49,76.33,Panoramic Sea Resort
142,Tupaciguara,BR,78.8,clear sky,-18.59,-48.7,Hotel Santa Terezinha
148,Nuevo Progreso,MX,84.99,overcast clouds,23.17,-97.95,Balneario Rio el Paraiso
154,Baoding,CN,78.22,light rain,38.85,115.49,Xiu Lan Hotel
159,Finschhafen,PG,77.58,light rain,-6.6,147.87,Cossam Guest House
162,Victoria,HK,86.0,clear sky,22.29,114.16,Mini Hotel Central
164,Luena,AO,86.0,broken clouds,-11.78,19.92,Hotel Kandamba
170,Acapulco,MX,77.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
171,Hue,VN,84.2,scattered clouds,16.47,107.6,Saigon Morin Hotel
172,Darnah,LY,81.46,clear sky,32.77,22.64,زاوية الرفاعي
174,Westport,US,75.2,light rain,41.14,-73.36,The Westport Inn
177,Guerrero Negro,MX,77.61,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
178,Saint George,US,82.4,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
180,Ghanzi,BW,78.03,broken clouds,-21.57,21.78,Ghanzi Farmhouse
181,Portobelo,PA,84.99,scattered clouds,9.55,-79.65,La Finca
183,Makurdi,NG,84.24,scattered clouds,7.74,8.51,Doo Palace Hotel
184,Kaura Namoda,NG,83.34,light rain,12.59,6.58,Moonlight Hotel
185,Manaus,BR,84.2,broken clouds,-3.1,-60.02,Hotel do Largo
194,Olinda,BR,84.2,broken clouds,-8.01,-34.86,Hotel 5 Sóis
195,Cotonou,BJ,82.4,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
196,Sola,VU,79.5,overcast clouds,-13.88,167.55,Leumerus Bungalows
198,Castro,BR,77.76,clear sky,-24.79,-50.01,CHACARA BAILLY
199,Akyab,MM,82.22,broken clouds,20.15,92.9,Hotel Memory
200,San Juan Del Sur,NI,80.6,broken clouds,11.25,-85.87,Nuestra Casa
203,Cabo San Lucas,MX,79.0,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
205,Neiafu,TO,77.0,broken clouds,-18.65,-173.98,Mystic Sands
208,Pedasi,PA,81.82,overcast clouds,7.53,-80.03,Selina Pedasi
210,Urumqi,CN,77.0,few clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
212,Arraial Do Cabo,BR,80.6,clear sky,-22.97,-42.03,Pousada Porto Praia
215,Nisia Floresta,BR,84.2,broken clouds,-6.09,-35.21,Rancho Crepusculo
216,Tapes,BR,75.51,scattered clouds,-30.67,-51.4,Cabanas Camping Union
218,Sokoto,NG,86.67,light rain,13.06,5.24,RG Palace
227,Praia Da Vitoria,PT,80.6,scattered clouds,38.73,-27.07,Hotel Branco I
231,Tanete,ID,75.51,broken clouds,-3.94,119.78,Wisma Tri Multi
232,Cayenne,GF,84.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
233,Ipixuna,BR,86.0,broken clouds,-1.76,-48.8,Casa da Oscarina
234,Banda Aceh,ID,81.43,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
235,Lamu,KE,77.22,few clouds,-2.27,40.9,Lamu House
240,Gushikawa,JP,82.4,clear sky,26.35,127.87,Kirari Guest House
241,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
247,Harlingen,US,86.0,clear sky,26.19,-97.7,Courtyard by Marriott Harlingen
248,Piacabucu,BR,81.0,few clouds,-10.41,-36.43,Piaçabuçu News
255,Katsuura,JP,84.2,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
256,Auki,SB,77.95,overcast clouds,-8.77,160.7,Auki Motel
257,Ribeira Grande,PT,80.6,scattered clouds,38.52,-28.7,Quinta da Meia Eira
258,Hamilton,US,75.99,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
260,Mayo,US,79.0,light rain,38.89,-76.51,Resorts Resource Group International
261,Hambantota,LK,84.2,few clouds,6.12,81.12,Bungalow 63
265,Malanje,AO,80.6,broken clouds,-9.54,16.34,Malanje Hotel
271,Erzin,TR,89.01,clear sky,36.96,36.2,Artemis Otel
274,Faanui,PF,76.75,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
282,Bardsir,IR,84.2,clear sky,29.92,56.57,هتل سجاد
283,Sekudai,MY,78.01,few clouds,1.53,103.67,HereHotel.com
287,Ninghai,CN,81.0,few clouds,29.29,121.42,Kaiyuan New Century Hotel
289,Lorengau,PG,81.75,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
291,Dalbandin,PK,89.92,clear sky,28.89,64.41,Police station anti NARCOTICS FORCE
293,Nakasongola,UG,77.61,light rain,1.31,32.46,Norena Hotel
295,Sao Joao Da Barra,BR,80.6,few clouds,-21.64,-41.05,Pousada Porto De Canoas
307,Kankan,GN,80.04,light rain,10.39,-9.31,Hotel Bate
314,Khotiv,UA,84.2,scattered clouds,50.33,30.47,Terra Nova Hotel-Restaurant
315,Maturin,VE,88.0,clear sky,9.75,-63.18,Residencias Guaritos I
318,Cockburn Town,TC,83.19,clear sky,21.46,-71.14,Osprey Beach Hotel
320,Takoradi,GH,79.92,broken clouds,4.88,-1.76,Raybow International Hotel
321,Fuerte,PH,80.92,overcast clouds,17.54,120.36,Giordion Inn
322,Nanakuli,US,78.8,clear sky,21.39,-158.15,Camp Palehua
326,Tura,IN,75.11,broken clouds,25.52,90.22,Hotel RIKMAN Continental
331,Mombasa,KE,80.6,scattered clouds,-4.05,39.66,New Palm Tree Hotel
344,Luganville,VU,75.42,moderate rain,-15.53,167.17,The Espiritu Hotel
345,Ovruch,UA,75.4,broken clouds,51.32,28.8,Рандеву
347,Banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
348,Chaman,PK,77.09,clear sky,30.92,66.45,Niamatt parda Center
350,Sivas,TR,80.6,clear sky,39.79,37.0,Sivas Sultan Otel
351,Mangrol,IN,80.73,heavy intensity rain,21.12,70.12,Hotel The Royal Honours
353,Surat Thani,TH,78.8,few clouds,9.14,99.33,Wang Tai Hotel
354,Vanimo,PG,76.93,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
357,Vung Tau,VN,83.37,scattered clouds,10.35,107.08,Seaside Resort
362,Perbaungan,ID,79.3,broken clouds,3.57,98.96,Bendang Lama
368,Leo,BF,83.17,light rain,11.1,-2.1,Hotel Sissilis
374,Takanabe,JP,79.52,clear sky,32.13,131.5,Hotel AZ Miyazaki Takanabe
375,Touros,BR,84.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
378,Ondjiva,AO,86.0,clear sky,-17.07,15.73,SOS Motel
381,Nguru,NG,88.63,overcast clouds,12.88,10.45,Government Lodge
387,El Dorado,US,82.4,broken clouds,33.21,-92.67,"Country Inn & Suites by Radisson, El Dorado, AR"
388,North Myrtle Beach,US,86.0,clear sky,33.82,-78.68,Avista Resort
393,Moroni,KM,82.4,scattered clouds,-11.7,43.26,Hotel les Arcades
395,Marawi,PH,75.99,overcast clouds,8.0,124.29,Salihmaruhom
399,Rome,US,81.0,broken clouds,34.26,-85.16,La Quinta Inn & Suites by Wyndham Rome
402,Hasaki,JP,79.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
406,Volovo,UA,79.09,clear sky,48.52,23.51,Motel Trembita
407,Ixtapa,MX,79.0,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
412,Trinidad,BO,87.8,clear sky,-14.83,-64.9,Hotel Piesta
414,Broome,US,75.0,light rain,42.25,-75.83,Chenango Valley State Park
417,Tawau,MY,77.0,few clouds,4.25,117.89,Shervinton Executive Boutique Hotel
418,Bandarbeyla,SO,78.26,clear sky,9.49,50.81,REER XOOSHLE GROUP
420,Jambi,ID,75.99,overcast clouds,-1.6,103.62,Aston Jambi Hotel & Conference Center
421,Derzhavinsk,KZ,76.08,few clouds,51.1,66.32,Ooo.khim Baza
425,Longhua,CN,80.58,scattered clouds,23.61,114.19,Huadu Hotel
427,Makakilo City,US,78.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
429,Oussouye,SN,77.0,scattered clouds,12.48,-16.55,Auberge du Routard
431,Ponta Delgada,PT,77.0,scattered clouds,37.73,-25.67,Vila Nova Hotel
433,Miri,MY,82.4,few clouds,4.41,114.01,"Mega Hotel, Miri"
434,Vranovice,CZ,78.01,few clouds,48.97,16.61,"Penzion ""U Kudláčků"""
435,Gasa,PS,89.01,clear sky,31.5,34.47,رابطة الفنانين الفلسطينيين
436,Tartagal,AR,85.32,clear sky,-22.52,-63.8,Almuñecar Hotel
443,Puqi,CN,76.12,light rain,29.72,113.88,Ramada Plaza Chibi
445,Kavieng,PG,81.27,scattered clouds,-2.57,150.8,Nusa Island Retreat
447,Alofi,NU,75.2,broken clouds,-19.06,-169.92,Taloa Heights
451,Kushima,JP,80.01,clear sky,31.46,131.23,Hanaoka
452,Sonepur,IN,80.69,clear sky,20.83,83.92,Circuit House
454,Phuket,TH,86.0,few clouds,8.0,98.25,The Surin Phuket
455,Pathein,MM,79.93,overcast clouds,16.78,94.73,Pathein Hotel
458,Danville,US,77.0,light rain,36.59,-79.39,Holiday Inn Express Danville
460,Tohana,IN,87.85,broken clouds,29.7,75.9,Bhatia Hotel
461,Talladega,US,77.0,overcast clouds,33.44,-86.11,Holiday Inn Express & Suites Talladega
465,Adra,ES,80.6,clear sky,36.75,-3.02,Camping Adra
466,Biak,ID,76.71,overcast clouds,-0.91,122.88,Kost Ariz
473,Altamira,BR,87.8,broken clouds,-3.2,-52.21,Requinte Hotel
476,Puerto Del Rosario,ES,77.0,broken clouds,28.5,-13.86,Hotel JM Puerto del Rosario
479,Rincon,US,87.01,broken clouds,32.3,-81.24,Bent tree subdivision
483,Bastia,FR,84.2,broken clouds,42.67,9.33,Hotel Santa Maria
485,Ndjole,GA,84.27,light rain,-0.18,10.76,Motel Kedyann
488,Jalingo,NG,82.72,light rain,8.88,11.37,Debright Motel
489,Caravelas,BR,80.69,clear sky,-17.71,-39.25,Pousada dos Navegantes
490,Axim,GH,79.77,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
491,Kuryk,KZ,75.6,few clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
492,Gangapur,IN,83.75,light rain,26.48,76.72,Hotel Haveli & Restaurant
494,Mbanza-Ngungu,CD,85.41,broken clouds,-5.25,14.87,Hotel Full Business
496,Port-Gentil,GA,78.8,overcast clouds,-0.72,8.78,Fengshui Residence
497,Fort-Shevchenko,KZ,75.06,clear sky,44.51,50.26,Oasis hotel Bautino
509,Saint-Georges,GD,89.6,scattered clouds,12.06,-61.75,Siesta Hotel
510,Nakamura,JP,77.67,clear sky,32.98,132.93,Hotel Crown Hills Nakamura
516,Kasongo,CD,83.17,overcast clouds,-4.45,26.67,Guest Hôtel
522,El Tigre,VE,86.85,clear sky,8.89,-64.25,Hotel Santa Cruz
523,Medak,IN,82.4,mist,18.03,78.27,Saipraveen lodge
524,Ribeira Brava,PT,78.8,scattered clouds,32.65,-17.07,Hotel do Campo
525,Meulaboh,ID,79.92,overcast clouds,4.14,96.13,Kost Pria
527,Ilhabela,BR,79.88,clear sky,-23.78,-45.36,Ilha Flat Hotel
528,Cururupu,BR,86.65,broken clouds,-1.83,-44.87,Pousada Través'cia
529,Florianopolis,BR,78.01,clear sky,-27.61,-48.5,Hotel Boutique Quinta das Videiras
532,Nsoko,SZ,75.2,broken clouds,-27.03,31.95,KaMsholo Bushveld Safaris
534,Mwinilunga,ZM,84.43,overcast clouds,-11.74,24.43,Kwakuwahi Lodge
535,Kasama,ZM,86.7,overcast clouds,-10.21,31.18,Kalebalika Cottages
538,Plymouth,US,75.99,light rain,41.83,-70.83,Rodeway Inn Middleboro-Plymouth
540,Taybad,IR,76.68,clear sky,34.74,60.78,لی پوش jean center
541,Road Town,VG,87.8,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
542,Komsomolskiy,UZ,80.6,clear sky,40.43,71.72,Ikathouse
546,Edgewater,US,87.01,broken clouds,28.99,-80.9,Islander Beach Resort
547,Safranbolu,TR,84.2,clear sky,41.25,32.69,Gulevi Safranbolu
550,Niksar,TR,82.11,clear sky,40.59,36.95,Nuri Park Hotel
551,Lyndon,US,75.99,overcast clouds,38.26,-85.6,SpringHill Suites by Marriott Louisville Hurstbourne/North
557,Muroto,JP,83.75,clear sky,33.28,134.15,Oota Ryokan
558,Praya,CV,86.0,scattered clouds,14.92,-23.51,LT Aparthotel
560,Honiara,SB,77.0,scattered clouds,-9.43,159.95,Heritage Park Hotel
561,Madang,PG,76.66,overcast clouds,-5.22,145.8,Comfort Inn Hotel
562,Sawang Daen Din,TH,80.82,overcast clouds,17.48,103.46,บ้านเจเน็ต คอมพิวเตอร์
563,Brownwood,US,84.2,clear sky,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
570,Kita,ML,77.09,overcast clouds,13.03,-9.49,Hôtel Nelson Mandela
573,Matara,LK,80.94,broken clouds,5.95,80.54,Amaloh Boutique Resort
577,Yuksekova,TR,84.2,scattered clouds,37.57,44.29,Hotel Grand Yılmaz
581,Bilgi,IN,76.87,overcast clouds,16.35,75.62,Kenada Lodge
582,Hinundayan,PH,81.05,overcast clouds,10.35,125.25,SABANG BEACH RESORT
585,Luanda,AO,75.2,broken clouds,-8.84,13.23,EPIC SANA Luanda
586,Gbarnga,LR,77.09,moderate rain,7.0,-9.47,Passion Hotel 2
587,Utrera,ES,87.01,clear sky,37.19,-5.78,Hospederia Santa Clara
589,Khani,GE,84.2,clear sky,41.96,42.96,კურორტი ზეკარი/Resort Zekari
590,Soto La Marina,MX,84.99,overcast clouds,23.77,-98.22,Hotel Chicago
593,Dothan,US,80.01,overcast clouds,31.22,-85.39,Courtyard by Marriott Dothan
594,Los Llanos De Aridane,ES,79.0,few clouds,28.66,-17.92,Valle Aridane
597,Dwarka,IN,82.24,overcast clouds,22.24,68.97,Hotel Narayan Avezika Comfort
599,Pak Chong,TH,77.31,overcast clouds,14.71,101.42,PakChong Phubade Hotel
603,Tagusao,PH,81.84,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
605,Sibu,MY,75.2,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
608,Progreso,MX,84.99,broken clouds,21.28,-89.67,Playa Linda Hotel
610,Yueyang,CN,77.27,light rain,29.33,113.09,Delong Fortune Hotel
612,Susehri,TR,81.39,clear sky,40.16,38.09,Su Vadi Hotel
613,Ilorin,NG,82.47,overcast clouds,8.5,4.55,SITY INN
617,Santa Isabel Do Rio Negro,BR,88.5,overcast clouds,-0.41,-65.02,Hotel GSA
619,Shelburne,CA,75.2,overcast clouds,44.08,-80.2,The Retreat at the Farm
624,Gashua,NG,88.86,overcast clouds,12.87,11.05,Forte Oil - Old Lorry Park
625,Tabou,CI,78.84,broken clouds,4.42,-7.35,hotêl doufoulougou
630,Hofu,JP,75.0,clear sky,34.05,131.57,APA HOTEL YAMAGUCHI-HOFU
634,Havelock,US,86.0,overcast clouds,34.88,-76.9,Sherwood Motel
635,Riohacha,CO,87.8,scattered clouds,11.54,-72.91,Hotel Taroa
640,Bogale,MM,80.6,overcast clouds,16.28,95.4,Aung Pin Lel Guest House
648,Yenagoa,NG,81.54,moderate rain,4.92,6.26,Amba Hotels Limited
649,Kavaratti,IN,82.83,scattered clouds,10.57,72.64,Hotels in Lakshadweep Islands
650,Wanning,CN,81.41,clear sky,18.8,110.4,Paradise Hotel
652,Male,MV,84.2,broken clouds,4.17,73.51,Hotel Octave Maldives
653,Mahajanga,MG,80.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
654,Zhuanghe,CN,77.0,light rain,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
657,Sigli,ID,79.86,light rain,5.38,95.96,Hotel Riza
663,Trincomalee,LK,84.09,light rain,8.57,81.23,Welcombe Hotel
666,Pinhao,BR,77.29,clear sky,-25.7,-51.66,Pinhão Park Hotel
669,Dong Xoai,VN,77.47,broken clouds,11.53,106.92,Nhà Hàng Thiên Thanh - CT. TNHH Thiên Lộc
670,Samarai,PG,78.06,broken clouds,-10.62,150.67,Nuli Sapi
671,Praia,CV,86.0,scattered clouds,14.92,-23.51,LT Aparthotel
672,Sompeta,IN,82.83,clear sky,18.93,84.6,V.B.R A/C Lodge And Function Hall
673,Maunabo,PR,90.0,clear sky,18.01,-65.9,Maunacaribe
675,Pemangkat,ID,78.53,overcast clouds,1.17,108.97,Kost H.Syamsuddin
676,Fukue,JP,82.2,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
677,Kurgunta,IN,77.31,moderate rain,17.2,77.35,CCi Guest House
678,Qinzhou,CN,81.93,light rain,21.95,108.62,Jinjiang Inn Style Qingzhou Walmart
681,Jeremie,HT,85.96,clear sky,18.65,-74.12,Auberge Inn
684,Osterburg,DE,75.99,overcast clouds,52.78,11.77,Altmarkhotel
685,Inhambane,MZ,77.0,broken clouds,-23.86,35.38,Oceano
686,Fort Pierce,US,89.01,clear sky,27.45,-80.33,Hutchinson Island Plaza Hotel & Suites
690,Zaozerne,UA,76.91,clear sky,45.16,33.28,"Molodozhnyy Lager' ""Pioner"""
692,Bucerias,MX,79.0,broken clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
